Node Number	LOC_DEFX ()
662	9.976e-003
663	9.9088e-003
664	1.0041e-002
665	1.0168e-002
666	1.0237e-002
667	1.0374e-002
668	1.0448e-002
669	1.0595e-002
670	1.0688e-002
671	1.0886e-002
672	1.1022e-002
673	1.1194e-002
674	1.1341e-002
675	1.1493e-002
676	1.1643e-002
677	1.1792e-002
678	1.1941e-002
679	1.209e-002
680	1.2239e-002
681	1.2388e-002
682	1.2537e-002
683	1.2686e-002
684	1.2836e-002
685	1.2986e-002
686	1.3135e-002
687	1.3285e-002
688	1.3434e-002
689	1.3584e-002
690	1.3734e-002
691	1.3884e-002
692	1.4033e-002
693	1.4183e-002
694	1.4331e-002
695	1.4482e-002
696	1.463e-002
697	1.4783e-002
698	1.493e-002
699	1.5084e-002
700	1.5229e-002
701	2.4846e-004
702	1.7536e-003
703	1.8417e-003
704	2.6818e-003
705	3.0981e-003
706	4.1563e-003
707	5.0344e-003
708	5.8972e-003
709	7.2992e-003
710	7.2884e-003
711	7.4472e-003
712	9.861e-003
713	1.0285e-002
714	1.0432e-002
715	1.2199e-002
716	1.2444e-002
717	1.4839e-002
718	1.426e-002
719	1.5043e-002
720	1.5221e-002
721	1.3858e-002
722	1.3963e-002
723	1.6467e-002
724	1.631e-002
725	1.7349e-002
726	1.8762e-002
727	1.5496e-002
728	9.4439e-003
729	9.7271e-003
730	9.6662e-003
731	9.5575e-003
732	9.5299e-003
733	1.202e-002
734	1.176e-002
735	1.051e-002
736	1.6609e-002
737	1.3959e-002
738	1.0465e-002
739	1.3829e-002
740	1.1699e-002
741	1.2179e-002
742	1.1606e-002
743	1.0506e-002
744	1.1036e-002
745	1.0549e-002
746	1.0592e-002
747	1.0486e-002
748	1.0518e-002
749	1.0521e-002
750	1.0512e-002
751	1.0271e-002
752	1.024e-002
753	1.0229e-002
754	1.0111e-002
755	1.021e-002
756	1.0072e-002
757	1.0202e-002
758	1.012e-002
759	1.0175e-002
760	1.0051e-002
761	9.9903e-003
762	1.0036e-002
763	1.0085e-002
764	1.0153e-002
765	1.0232e-002
766	1.032e-002
767	1.0422e-002
768	1.0553e-002
769	1.0667e-002
770	1.0807e-002
771	1.0913e-002
772	1.1069e-002
773	1.1203e-002
774	1.1352e-002
775	1.1496e-002
776	1.1644e-002
777	1.1791e-002
778	1.1941e-002
779	1.2089e-002
780	1.2239e-002
781	1.2388e-002
782	1.2537e-002
783	1.2687e-002
784	1.2836e-002
785	1.2986e-002
786	1.3136e-002
787	1.3285e-002
788	1.3435e-002
789	1.3585e-002
790	1.3734e-002
791	1.3884e-002
792	1.4033e-002
793	1.4184e-002
794	1.4332e-002
795	1.4483e-002
796	1.4631e-002
797	1.4784e-002
798	1.4931e-002
799	1.5086e-002
800	1.5231e-002
801	3.3557e-004
802	1.6446e-003
803	1.7826e-003
804	2.7455e-003
805	3.5499e-003
806	3.8235e-003
807	4.7044e-003
808	6.8029e-003
809	7.1691e-003
810	7.169e-003
811	8.4128e-003
812	8.1627e-003
813	1.0323e-002
814	1.1856e-002
815	1.1248e-002
816	1.3306e-002
817	1.4089e-002
818	1.5244e-002
819	1.5165e-002
820	1.5539e-002
821	1.6906e-002
822	1.3756e-002
823	1.3245e-002
824	1.8206e-002
825	1.8289e-002
826	1.0497e-002
827	1.8887e-002
828	1.6283e-002
829	1.8128e-002
830	1.6612e-002
831	1.7495e-002
832	1.7346e-002
833	1.9232e-002
834	1.6505e-002
835	1.7071e-002
836	1.9719e-002
837	1.5107e-002
838	1.8242e-002
839	1.7775e-002
840	1.5888e-002
841	1.588e-002
842	1.475e-002
843	1.4667e-002
844	1.4836e-002
845	1.1616e-002
846	1.2169e-002
847	1.1672e-002
848	1.1799e-002
849	1.1708e-002
850	1.0959e-002
851	1.0639e-002
852	1.0676e-002
853	1.0701e-002
854	1.0742e-002
855	1.0716e-002
856	1.0634e-002
857	1.0644e-002
858	1.0542e-002
859	1.0473e-002
860	1.0385e-002
861	1.0455e-002
862	1.038e-002
863	1.0415e-002
864	1.0401e-002
865	1.0229e-002
866	1.0292e-002
867	1.0406e-002
868	1.0513e-002
869	1.0641e-002
870	1.0757e-002
871	1.0907e-002
872	1.1046e-002
873	1.1201e-002
874	1.1351e-002
875	1.15e-002
876	1.1648e-002
877	1.1795e-002
878	1.1944e-002
879	1.2092e-002
880	1.2241e-002
881	1.2389e-002
882	1.2539e-002
883	1.2688e-002
884	1.2837e-002
885	1.2987e-002
886	1.3136e-002
887	1.3286e-002
888	1.3436e-002
889	1.3586e-002
890	1.3735e-002
891	1.3885e-002
892	1.4034e-002
893	1.4184e-002
894	1.4333e-002
895	1.4483e-002
896	1.4631e-002
897	1.4784e-002
898	1.4931e-002
899	1.5085e-002
900	1.523e-002
901	1.9472e-004
902	5.9986e-004
903	1.9731e-003
904	2.859e-003
905	3.4833e-003
906	3.784e-003
907	3.7355e-003
908	5.0014e-003
909	6.2976e-003
910	7.3535e-003
911	8.0337e-003
912	8.1216e-003
913	1.1092e-002
914	1.1151e-002
915	1.3466e-002
916	1.3358e-002
917	1.4962e-002
918	1.5256e-002
919	1.3788e-002
920	1.5762e-002
921	1.186e-002
922	1.2313e-002
923	1.9067e-002
924	2.2142e-002
925	1.8679e-002
926	2.4113e-002
927	2.3004e-002
928	2.2566e-002
929	2.8e-002
930	2.5372e-002
931	3.0807e-002
932	2.6327e-002
933	1.6528e-002
934	2.2964e-002
935	2.641e-002
936	1.7997e-002
937	2.2114e-002
938	2.2029e-002
939	1.8472e-002
940	1.8142e-002
941	1.7523e-002
942	1.6622e-002
943	1.6639e-002
