Node Number	LOC_DEFY (m)
766	1.0063e-004
767	1.0848e-004
768	4.7215e-005
769	6.8453e-005
770	4.6424e-005
771	1.0901e-004
772	1.0049e-004
773	9.7481e-005
774	9.8028e-005
775	9.6675e-005
776	9.7022e-005
777	9.6583e-005
778	9.6447e-005
779	9.5782e-005
780	9.5499e-005
781	9.5206e-005
782	9.494e-005
783	9.4912e-005
784	9.4578e-005
785	9.4872e-005
786	9.4476e-005
787	9.501e-005
788	9.4627e-005
789	9.5353e-005
790	9.4846e-005
791	9.5621e-005
792	9.5053e-005
793	9.553e-005
794	9.4687e-005
795	9.4387e-005
796	9.3738e-005
797	9.2605e-005
798	9.3798e-005
799	9.2049e-005
800	9.4815e-005
801	7.2065e-004
802	4.9127e-006
803	-1.e-006
804	1.0886e-004
805	1.1233e-004
806	1.6093e-004
807	5.672e-004
808	1.64e-005
809	3.3931e-004
810	2.4556e-004
811	7.4222e-004
812	7.4873e-005
813	7.4312e-004
814	9.9968e-004
815	-1.e-006
816	3.2216e-005
817	-1.e-006
818	8.227e-004
819	1.0177e-003
820	1.1604e-003
821	1.7724e-004
822	1.6796e-003
823	1.8127e-004
824	4.8415e-004
825	-1.e-006
826	2.5909e-004
827	1.2286e-004
828	7.1976e-004
829	9.643e-004
830	-1.e-006
831	-1.e-006
832	1.0717e-003
833	1.9166e-003
834	4.3607e-004
835	1.5662e-003
836	3.5998e-004
837	-1.e-006
838	2.9325e-004
839	3.2911e-004
840	5.2477e-004
841	8.0653e-004
842	-1.e-006
843	-1.e-006
844	-1.e-006
845	1.5408e-004
846	4.7311e-005
847	3.1753e-005
848	8.262e-005
849	3.8189e-005
850	2.2088e-004
851	2.9602e-005
852	7.9925e-005
853	6.3926e-005
854	1.574e-004
855	1.6114e-004
856	1.296e-004
857	1.3424e-004
858	-9.9652e-007
859	1.6234e-004
860	5.105e-005
861	6.3992e-005
862	5.5503e-005
863	1.6205e-004
864	1.4853e-004
865	1.1636e-004
866	9.405e-005
867	1.0143e-004
868	9.1246e-005
869	9.4893e-005
870	9.1428e-005
871	9.8088e-005
872	9.6662e-005
873	9.8268e-005
874	9.7083e-005
875	9.6665e-005
876	9.6369e-005
877	9.6254e-005
878	9.5984e-005
879	9.5843e-005
880	9.5693e-005
881	9.5734e-005
882	9.5486e-005
883	9.5556e-005
884	9.5241e-005
885	9.5541e-005
886	9.512e-005
887	9.5629e-005
888	9.5101e-005
889	9.5929e-005
890	9.5445e-005
891	9.6222e-005
892	9.572e-005
893	9.6154e-005
894	9.5509e-005
895	9.515e-005
896	9.4536e-005
897	9.3617e-005
898	9.4436e-005
899	9.3054e-005
900	9.4682e-005
901	1.793e-005
902	8.1811e-004
903	-1.e-006
904	3.8671e-007
905	6.6169e-006
906	1.9427e-005
907	1.4028e-004
908	5.0367e-004
909	9.6285e-004
910	7.3694e-004
911	5.0642e-005
912	5.2347e-005
913	5.333e-004
914	1.3147e-005
915	7.1428e-005
916	5.6316e-006
917	-1.e-006
918	3.4578e-004
919	8.7028e-004
920	8.5621e-004
921	1.5525e-004
922	2.2835e-004
923	1.6066e-004
924	1.3501e-003
925	2.5325e-004
926	-1.e-006
927	1.8466e-005
928	-1.e-006
929	4.5389e-004
930	3.0973e-006
931	2.4252e-003
932	-1.e-006
933	1.0382e-003
934	-1.e-006
935	1.4763e-003
936	1.1835e-004
937	-1.e-006
938	-1.e-006
939	3.6057e-004
940	2.2999e-004
941	-1.e-006
942	4.7922e-004
943	4.8012e-004
944	3.9272e-005
945	9.6082e-006
946	3.5673e-005
947	1.0573e-006
948	4.821e-005
949	6.2826e-005
950	5.9788e-005
951	8.8887e-005
952	1.4068e-004
953	1.9863e-004
954	1.7665e-004
955	1.4556e-004
956	1.4569e-004
957	5.8218e-005
958	5.2184e-005
959	6.2887e-005
960	3.34e-005
961	6.3412e-005
962	4.6051e-005
963	1.4115e-004
964	1.4175e-004
965	1.0026e-004
966	1.0074e-004
967	9.5272e-005
968	9.7547e-005
969	9.0177e-005
970	9.4576e-005
971	8.827e-005
972	9.4591e-005
973	9.2503e-005
974	9.4816e-005
975	9.6536e-005
976	9.6216e-005
977	9.6535e-005
978	9.6291e-005
979	9.6126e-005
980	9.5649e-005
981	9.5578e-005
982	9.5174e-005
983	9.5288e-005
984	9.491e-005
985	9.5234e-005
986	9.4695e-005
987	9.5273e-005
988	9.4876e-005
